date,open,high,low,close,volume
2024-01-02,165.0,165.8,162.78,164.74,52925156
2024-01-03,164.74,166.96,162.25,164.52,37031759
2024-01-04,164.52,165.19,162.81,164.11,56390617
2024-01-05,164.11,167.24,162.9,165.57,56326086
2024-01-08,165.57,168.2,163.1,166.15,70732969
2024-01-09,166.15,168.31,164.02,167.35,37557456
2024-01-10,167.35,169.7,165.07,169.31,52112443
2024-01-11,169.31,173.19,168.5,171.09,41641333
2024-01-12,171.09,172.17,164.21,165.41,47717311
2024-01-15,165.41,169.07,164.27,166.89,40371103
2024-01-16,166.89,167.59,164.92,166.75,51473202
2024-01-17,166.75,168.6,164.9,168.19,59198621
2024-01-18,168.19,169.23,164.86,166.87,46391546
2024-01-19,166.87,168.55,165.3,166.38,83029050
2024-01-22,166.38,168.65,164.77,168.1,72062199
2024-01-23,168.1,172.81,167.19,171.3,53871670
2024-01-24,171.3,174.22,168.81,173.49,37675859
2024-01-25,173.49,174.18,172.52,172.83,63683583
2024-01-26,172.83,176.05,171.19,174.28,47687158
2024-01-29,174.28,177.33,172.27,176.5,48198005
2024-01-30,176.5,178.12,174.47,174.9,51476104
2024-01-31,174.9,177.52,172.3,173.67,59989131
2024-02-01,173.67,174.75,172.59,174.31,57015632
2024-02-02,174.31,175.31,172.63,174.98,42868668
2024-02-05,174.98,180.45,174.46,177.85,54641120
2024-02-06,177.85,183.55,176.52,181.63,56381427
2024-02-07,181.63,182.1,179.71,181.33,72079852
2024-02-08,181.33,183.73,173.88,175.87,63531570
2024-02-09,175.87,178.29,174.0,174.49,54972274
2024-02-12,174.49,176.15,171.34,173.57,71341417
2024-02-13,173.57,175.91,172.26,173.84,40104527
2024-02-14,173.84,176.12,173.49,175.9,55038169
2024-02-15,175.9,180.05,173.4,179.1,39360832
2024-02-16,179.1,183.67,177.63,183.27,34829008
2024-02-19,183.27,189.21,180.85,187.02,63548626
2024-02-20,187.02,187.9,183.56,184.07,57345073
2024-02-21,184.07,185.64,181.8,182.67,58844702
2024-02-22,182.67,186.09,181.59,183.35,64887520
2024-02-23,183.35,183.84,178.62,180.76,60494204
2024-02-26,180.76,181.52,177.04,179.18,68600612
2024-02-27,179.18,183.0,178.76,182.23,62311267
2024-02-28,182.23,183.65,181.2,182.86,51448429
2024-02-29,182.86,185.78,181.58,183.2,61232531
2024-03-01,183.2,185.45,176.98,179.19,58593077
2024-03-04,179.19,182.55,177.67,181.29,62290808
2024-03-05,181.29,183.97,178.42,180.88,37203696
2024-03-06,180.88,183.24,177.13,179.19,61275347
2024-03-07,179.19,181.42,177.2,180.18,67180779
2024-03-08,180.18,181.54,179.65,180.24,82192123
2024-03-11,180.24,182.94,178.99,179.58,53797629
2024-03-12,179.58,187.32,177.3,184.94,49694224
2024-03-13,184.94,186.16,180.74,183.34,55749797
2024-03-14,183.34,184.2,177.72,178.44,79029612
2024-03-15,178.44,181.01,175.98,176.17,58510428
2024-03-18,176.17,176.73,170.96,172.83,48441885
2024-03-19,172.83,177.32,172.05,175.81,51915851
2024-03-20,175.81,180.16,175.27,178.72,60587951
2024-03-21,178.72,182.44,176.5,182.05,80518577
2024-03-22,182.05,182.83,176.8,179.19,44881085
2024-03-25,179.19,182.28,178.06,180.6,49261497
2024-03-26,180.6,182.1,177.62,177.96,62720910
2024-03-27,177.96,179.84,176.28,179.06,73264152
2024-03-28,179.06,180.03,177.39,178.19,46067152
2024-03-29,178.19,183.26,178.0,180.56,60848775
